"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.291763200E-1,8.614161611E-2,1.411765367E-1,9.808479309E0,9.809873473E0
7.315832990E-1,9.571290761E-2,1.363908947E-1,9.803693771E0,9.805109637E0
7.339902780E-1,8.135596663E-2,1.531406492E-1,9.794121742E0,9.795656770E0
7.363972580E-1,8.614161611E-2,1.579262912E-1,9.801301003E0,9.802951720E0
7.388042370E-1,1.004985496E-1,1.483550072E-1,9.794121742E0,9.795760811E0
7.412112160E-1,1.052841991E-1,1.387837082E-1,9.801301003E0,9.802848924E0
7.436181950E-1,9.092725813E-2,1.627119333E-1,9.808479309E0,9.810250216E0
7.460251740E-1,7.417750359E-2,1.579262912E-1,9.806086540E0,9.807638668E0
7.484321530E-1,8.614161611E-2,1.483550072E-1,9.803693771E0,9.805194600E0
7.508391330E-1,9.810572863E-2,1.531406492E-1,9.791728973E0,9.793417845E0
7.532461120E-1,1.076770201E-1,1.459621787E-1,9.786943436E0,9.788624066E0
7.556531430E-1,8.853443712E-2,1.459621787E-1,9.796515465E0,9.798002784E0
7.580601220E-1,8.135596663E-2,1.363908947E-1,9.808479309E0,9.809764912E0
7.604671010E-1,7.896314561E-2,1.507478207E-1,9.810872078E0,9.812347885E0
7.628740810E-1,8.853443712E-2,1.555334777E-1,9.810872078E0,9.812504264E0
7.652810600E-1,9.092725813E-2,1.483550072E-1,9.815657616E0,9.817199774E0
7.676880390E-1,8.135596663E-2,1.579262912E-1,9.815657616E0,9.817265094E0
7.700950180E-1,9.810572863E-2,1.555334777E-1,9.813264847E0,9.814987639E0
7.725019970E-1,9.571290761E-2,1.627119333E-1,9.803693771E0,9.805511088E0
7.749089760E-1,8.853443712E-2,1.627119333E-1,9.808479309E0,9.810228329E0
7.773159560E-1,9.092725813E-2,1.555334777E-1,9.794121742E0,9.795778638E0
7.797229350E-1,1.076770201E-1,1.507478207E-1,9.801301003E0,9.803051596E0
7.821299140E-1,8.853443712E-2,1.579262912E-1,9.803693771E0,9.805365400E0
7.845368930E-1,7.178468257E-2,1.411765367E-1,9.803693771E0,9.804972994E0
7.869438720E-1,9.332008660E-2,1.459621787E-1,9.791728973E0,9.793261453E0
7.893509030E-1,9.571290761E-2,1.555334777E-1,9.796515465E0,9.798217536E0
